职位名称,薪酬,城市地区,工作经验要求,学历要求,关键词,公司名称,规模类型,公司标签
行政前台,8千-1万,上海·静安区,2年,大专,"行政前台
前台文员",仲信智造（上海）经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
网络安全研究人员,1.2-2.4万·15薪,长沙,1年,本科,"弹性力学
有限元方法
结构力学
流体力学
电磁
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
运动人体科学专业专任教师,5-8.5千,海口·美兰区,1年,硕士,"教学
运动康复
运动生理学
运动解剖学
科研
大学老师
大学教授
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
收银员（南沙服装）,4-6千,广州·南沙区,1年,,"社保五险
收银
收银员",广州市南沙经济技术开发区中兴贸易有限公司,民营  ,贸易/进出口
有害生物防制员区域主管,8千-1.5万,广州·海珠区,3-4年,高中,"餐饮
技工
生产工
操作工
有害生物防制
主管
质检
食品安全
虫害管理
虫害防控
五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作",广州粤洪经济发展有限公司,民营  |  少于50人,环保
算法工程师,1.2-2.4万·15薪,长沙,3-4年,本科,"c++
FORTRAN
数值算法
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
舞蹈学专任教师,5-8.5千,海口·美兰区,1年,本科,"周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金
教学
音乐
艺术院校
舞蹈老师
大学老师",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
采购主管,6-8千,宁波·鄞州区,3-4年,大专,"采购
采购主管
采购经理
全勤奖
节日福利
餐饮补贴",宁波经济技术开发区全顺机电进出口有限公司,民营  |  少于50人,贸易/进出口
项目技术负责人,11-12万/年,武汉·黄陂区,5-7年,本科,"五险一金
定期体检
绩效奖金
餐饮补贴
交通补贴
专业培训",湖北南德经济发展集团有限公司,民营  |  150-500人,房地产
区块链开发工程师,2.5-5万,上海·浦东新区,3-4年,本科,,杭州链杉经济信息咨询有限公司,民营  |  少于50人,金融/投资/证券
维修技术员,3-4.5千,海口·美兰区,1年,大专,"维修
设备维修
工程师
计算机
IT
周末双休
五险一金
免费班车
节日福利
餐饮补贴",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
产品经理,10-15万/年,上海·浦东新区,3-4年,本科,"产品经理
五险一金
专业培训
绩效奖金
年终奖金
做五休二
带薪年假
全勤奖
节日福利",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
水电工程师,6千-1.2万,广州·天河区,3-4年,大专,"水电工程师
全勤奖
社保
弹性工作",广州市富城经济发展有限公司,民营  |  150-500人,房地产
生态修复保护岗,7千-1.2万,成都·金牛区,1年,本科,"生态环境
环境工程
环境影响评价
生态修复
五险一金
绩效奖金
年终奖金",四川省循环经济协会,非营利组织  |  少于50人,环保
计算机技术员,3-4.5千,海口·美兰区,1年,大专,"维修
设备维修
工程师
计算机
IT
周末双休
五险一金
免费班车
节日福利
餐饮补贴",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
系统开发,200元/天,上海·长宁区,无需经验,硕士,"计算机
java
mysql
oracle
数据库
springboot
工作午餐
工作早餐
项目津贴",上海市经济信息中心,事业单位  |  150-500人,政府/公共事业
平台工程师,1.2-2.4万,长沙,2年,硕士,"双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
司机,6-8万/年,南京·建邺区,3-4年,高中,"五险一金
餐饮补贴
通讯补贴
交通补贴
定期体检
绩效奖金
补充医疗保险",江苏海外集团对外经济技术合作有限公司,国企  |  500-1000人,贸易/进出口
影视舞台美术专任教师,5-8.5千,海口·美兰区,1年,硕士,"舞台美术
人物造型设计
影视美术
剧场剧院
道具
影视
大学老师
大学教授
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
招投标专员,8千-1万,昆山,2年,大专,"五险一金
弹性工作
年终奖金
定期体检
带薪年假
节日福利
餐饮补贴
高温补贴",昆山经济技术开发区建筑安装工程有限公司,民营  |  50-150人,建筑/建材/工程
高性能计算研究人员,1.2-2.4万,长沙,3-4年,本科,"双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
食品检验员（食品QS咨询师方面）,6-8千,南京·雨花台区,2年,本科,"食品
检验
咨询
周末双休
带薪年假
年终双薪
奖金丰厚
全勤奖
提供班车
高温补贴
五险一金
绩效奖金
专业培训",南京诺天经济信息咨询有限公司,民营  |  少于50人,检测，认证
案场形象秩序岗,5-5.5千,武汉·黄陂区,2年,高中,"节日福利
年终奖金
生日福利
带薪年假
绩效奖金
定期体检
专业培训
包吃
车辆管理
突发事件处理",湖北南德经济发展集团有限公司,民营  |  150-500人,房地产
标准部部长——须该工作经验,1-2万,北京·朝阳区,2年,本科,"标准
标准体系
标准专家
绩效奖金
专业培训
定期体检
员工旅游
五险一金
年终奖金
出国机会
高端人脉",中国电子节能技术协会低碳经济专业委员会,非营利组织  |  少于50人,环保
大数据架构师,1.2-2.4万,长沙,2年,硕士,"双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
摄影摄像专任教师,5-8.5千,海口·美兰区,1年,硕士,"影视后期
特效制作
影视剪辑
剪辑
影视技术
大学老师
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
UI设计,150元/天,上海·长宁区,无需经验,本科,"ps
ui设计
ai
界面设计
网页设计
界面ui设计
工作午餐
工作早餐
项目津贴",上海市经济信息中心,事业单位  |  150-500人,政府/公共事业
动力经济性主任工程师,1.5-3万,西安·高新技术产业开发区,8-9年,本科,"动力经济性
试验数据分析
ev
仿真分析
五险一金
专业培训
绩效奖金
通讯补贴
提供食宿",比亚迪股份有限公司,民营  |  10000人以上,汽车
软件工程师,1.2-2.4万,长沙,2年,硕士,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
周末双休
定期体检
工作环境舒适
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服务员,4.8-5.5千,广州,无需经验,初中及以下,"带薪年假
全勤奖
包吃
包住宿
五险一金
高温补贴
专业培训
住房补贴
绩效奖金
服务员
侍应
楼面服务员
包吃包住",广东惠食佳经济发展有限公司,  150-500人,餐饮业
司机,6-7千,深圳,3-4年,初中及以下,"五险一金
员工宿舍
行车
驾驶执照
行车记录
道路交通线路",深圳市东宏晟经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
电脑员(南沙服装）,4-5千,广州·南沙区,1年,高中,社保五险,广州市南沙经济技术开发区中兴贸易有限公司,民营  ,贸易/进出口
有限元软件研发工程师,1.2-2.4万,长沙,3-4年,本科,"双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
体系专员,8-10万/年,宁波·北仑区,3-4年,大专,"体系专员
体系工程师
包吃
包住宿
绩效奖金
五险
全勤奖
节日福利
年终奖
工龄奖",宁波经济技术开发区恒阳机械有限公司,民营  |  150-500人,机械/设备/重工
数字媒体艺术专任教师,5-8.5千,海口·美兰区,3-4年,硕士,"教学
教师
高校教学
数字媒体艺术
数字媒体
数字化
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
有害生物防制员,8千-1.2万,广州·海珠区,2年,高中,"五险一金
补充医疗保险
交通补贴
通讯补贴
绩效奖金
弹性工作
专业培训
餐饮补贴
操作工
有害生物防制
灭鼠杀虫
消杀
搬运
普工
快递
工地
杂工
水电工",广州粤洪经济发展有限公司,民营  |  少于50人,环保
二进制安全研究人员,1.2-2.4万·15薪,长沙,1年,本科,"弹性力学
有限元方法
结构力学
流体力学
电磁
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
电工 - 经济技术开发区,5-6千·13薪,大连,5-7年,高中,"五险一金
带薪年假
专业培训
年度体检
补充医疗保险
定期体检",仲量联行,外资（欧美）  |  10000人以上,房地产
平面设计师,8千-1万,深圳,3-4年,大专,"页面创意设计
服装设计
微信图文
五险一金
员工宿舍",深圳市东宏晟经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
营业员（南沙服装）,4.5-6千,广州·南沙区,无需经验,,社保五险,广州市南沙经济技术开发区中兴贸易有限公司,民营  ,贸易/进出口
高性能计算工程师,1.2-2.4万,长沙,3-4年,本科,"双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
暖通工程师 - 经济技术开发区,9千-1.2万·13薪,大连,5-7年,本科,"五险一金
带薪年假
专业培训
年度体检
补充医疗保险
定期体检",仲量联行,外资（欧美）  |  10000人以上,房地产
采购（五险一金+双休+全勤奖）,4-8千,宁波·鄞州区,2年,大专,"采购
采购员
采购专员
采购助理
供应商开发
采购工程师
供应商
五险一金
周末双休
绩效奖金
餐饮补贴
节日福利",宁波经济技术开发区芳贝国际贸易有限公司,民营  |  少于50人,贸易/进出口
摄影总监、 摄影师,8千-1万,广州·海珠区,1年,大专,"摄影
婚纱摄影
摄影师
婚纱拍摄
拍摄
外景
绩效奖金
五险一金",广州市世纪兆业经济发展有限公司,民营  |  500-1000人,多元化业务集团公司
云平台DevOps工程师,1.2-2.4万,长沙,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
周末双休
定期体检
工作环境舒适
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
消防技术员 - 经济技术开发区,5-6千·13薪,大连,3-4年,高中,"五险一金
带薪年假
专业培训
年度体检
补充医疗保险
定期体检",仲量联行,外资（欧美）  |  10000人以上,房地产
IQC质检员,4-5千,佛山·南海区,2年,中技/中专,"五险一金
餐饮补贴
弹性工作
专业培训",佛山市南海区骏达经济实业有限公司,民营  |  50-150人,汽车
数字媒体艺术专业教师,5-8.5千,海口·美兰区,1年,硕士,"教学
数字媒体艺术
动画设计
大学老师
大学教授
教授
老师
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
并行计算工程师,1.2-2.4万·15薪,长沙,2年,本科,双休,北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
前台接待,4-6千,珠海·香洲区,无需经验,,"接待管理
前台电话接听
五险
带薪年假
年终奖金
餐饮补贴
绩效奖金",珠海经济特区恒隆物业管理有限公司,民营  |  150-500人,物业管理/商业中心
运维工程师,6-9千,上海·浦东新区,2年,本科,"运维
五险一金
专业培训
绩效奖金
年终奖金
做五休二
带薪年假
全勤奖
节日福利",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
开发工程师,7千-1.4万,广州·天河区,1年,大专,"五险一金
员工旅游
通讯补贴
定期体检
周末双休
年终奖金",广东亚太创新经济研究院,非营利组织  |  50-150人,专业服务(咨询、人力资源、财会)
安全开发工程师,1.2-2.4万·15薪,长沙,1年,本科,"弹性力学
有限元方法
结构力学
流体力学
电磁
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,宁波,3-4年,中技/中专,"qc
质检
质检员
服装
检验
服装qc
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
Web后端开发工程师,1-2万,广州·海珠区,3-4年,大专,"Express
typeORM
nodeJs后端
带薪年假
五险一金
包吃
专业培训
全勤奖
高温补贴
绩效奖金
住房补贴",广东惠食佳经济发展有限公司,  150-500人,餐饮业
幼儿园厨师,4-6千,南昌·青山湖区,3-4年,高中,"五险一金
年终奖金
生日福利
结婚生育福利
年度健康体检
教职工团建
专业培训
食品营养学
健康体检
幼儿园厨师
厨师证
特殊加工
厨房",南昌经济技术开发区澜湾幼儿园,事业单位  |  500-1000人,教育/培训/院校
前端工程师,1.2-2.4万·15薪,长沙,2年,硕士,"javascript
linux
前端
前端框架
数据可视化
docker
html
css
前后端分离
代码质量
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,广州·番禺区,3-4年,高中,"QC
AQL
验货
第三方
针织
梭织
质检员
质检
qc
检验员
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
服装与服饰设计专业教师,5-8.5千,海口·美兰区,1年,硕士,"教学
服装设计
服装工艺
服装结构设计
大学老师
大学教授
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
生产调度员,4-6千,大连·金州区,5-7年,大专,,大连经济技术开发区艺海玻璃有限公司,民营  |  150-500人,建筑/建材/工程
图形引擎开发工程师,1.2-2.4万,长沙,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
周末双休
定期体检
工作环境舒适
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,聊城,3-4年,中技/中专,"qc
质检
质检员
服装
检验
服装qc
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
有害生物防制员,200元/天,广州·海珠区,3-4年,初中及以下,"绩效奖金
全勤奖
节日福利
交通补贴
住房补贴
通讯补贴
快递
搬运
普工
技工
操作工
质检
有害生物防制
杀虫
灭鼠
消毒",广州粤洪经济发展有限公司,民营  |  少于50人,环保
动画专任教师,5-8.5千,海口·美兰区,1年,硕士,"教学
三维动画
zb
3dmax
动画
科研
maya
大学老师
广告学
周末双休
五险一金
免费班车
节日福利
餐饮补贴
定期体检
年终奖金
绩效奖金",海口经济学院,已上市  |  1000-5000人,教育/培训/院校
高级视觉设计师/视觉设计师,1.2-2.4万·15薪,长沙,2年,本科,"双休
五险一金
通讯补贴
餐饮补贴
交通补贴
专业培训
年终奖金
定期体检
办公环境舒适",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC/质检员,0.8-1万,汕头·潮阳区,3-4年,高中,"qc
质检
质检员
检验
质量
检验员
服装QC
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
Web前端开发工程师,8-10万/年,上海·浦东新区,1年,本科,"web前端
前端开发
五险一金
专业培训
绩效奖金
年终奖金
做五休二
带薪年假
全勤奖
节日福利",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
车间主任,5-8千,大连·金州区,3-4年,大专,,大连经济技术开发区艺海玻璃有限公司,民营  |  150-500人,建筑/建材/工程
C++工程师,1.2-2.4万·15薪,长沙,2年,硕士,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
周末双休
定期体检
工作环境舒适
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,汕头·潮阳区,5-7年,中技/中专,"qc
质检
质检员
服装
检验
服装qc
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
Java高级开发工程师,10-20万/年,上海·浦东新区,5-7年,本科,"五险一金
专业培训
绩效奖金
年终奖金
做五休二
带薪年假
全勤奖
节日福利",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
服装设计师,1-1.2万,深圳,5-7年,大专,"服装设计
五险一金
员工宿舍",深圳市东宏晟经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
网络安全渗透工程师,1.2-2.4万·15薪,长沙,1年,本科,"弹性力学
有限元方法
结构力学
流体力学
电磁
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,泰州,3-4年,中技/中专,"qc
质检
质检员
检验
质量管理
测试工程师
QC工程师
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
美工/网页设计,8千-1万,上海·静安区,2年,大专,"网店
coreldraw
dreamweaver
五险一金
专业培训
出国机会",仲信智造（上海）经济发展有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会)
工艺工程师 / 工艺工程师助理,6-7千,佛山·南海区,1年,大专,"五险一金
餐饮补贴
弹性工作
专业培训",佛山市南海区骏达经济实业有限公司,民营  |  50-150人,汽车
云平台开发工程师,1.2-2.4万,长沙,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
周末双休
定期体检
工作环境舒适
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,枣庄,3-4年,中技/中专,"qc
质检
质检员
服装
检验
服装qc
qa
跟单
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
抖音主播,4-6千,西安·未央区,无需经验,,,西安经济技术开发区梵序服装零售店,民营  |  少于50人,互联网/电子商务
品质部经理,1.2-1.5万,宁波·北仑区,5-7年,大专,"压铸品质经理
质量管控
铝压铸
体系管理
绩效奖金
住房补贴
高温补贴
五险一金",宁波经济技术开发区博泰模具制造有限公司,民营  |  150-500人,机械/设备/重工
可视化平台研发工程师,1.2-2.4万·15薪,长沙,2年,本科,"五险一金
通讯补贴
餐饮补贴
交通补贴
专业培训
年终奖金
定期体检
周末双休
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
服装QC,0.8-1万,宁波,3-4年,中技/中专,"qc
质检
质检员
服装
检验
服装qc
周休1.5天
带薪年假
五险
出国机会
绩效奖金",汕头经济特区林樱樱时装有限公司,外资（非欧美）  |  50-150人,服装/纺织/皮革
软件测试,6-9千,上海·浦东新区,1年,本科,"测试
五险一金
专业培训
绩效奖金
年终奖金",中国财政经济出版社培训中心,国企  |  50-150人,教育/培训/院校
平面设计师（五险一金+双休+全勤奖）,4-8千,宁波·鄞州区,1年,大专,"设计
美工
平面设计师
设计师
平面
网页设计
包装设计
五险一金
周末双休
绩效奖金
餐饮补贴
节日福利",宁波经济技术开发区芳贝国际贸易有限公司,民营  |  少于50人,贸易/进出口
JAVA前端/后端工程师,1.2-2.4万·15薪,长沙,1年,硕士,"双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
维修工（综合维修工、空调工）,5.5-7千·13薪,上海·闵行区,3-4年,高中,"做五休二
绩效奖金
餐饮补贴
高温补贴
定期体检
带薪年假
专业培训
五险一金
岗位晋升
维修
技工
物业",上海虹桥经济技术开发区物业经营管理有限公司,国企  |  500-1000人,物业管理/商业中心
维修工（恒隆物业）,3.5-4千,珠海·香洲区,1年,,"五险
带薪年假
年终奖金
电工
维修
物业
物业维修
维修工
工程
水电工
综合维修",珠海经济特区恒隆物业管理有限公司,民营  |  150-500人,物业管理/商业中心
跟车员,4-5千,重庆·南岸区,1年,,"包住宿
免费班车
绩效奖金
全勤奖
节日福利
高温补贴
五险
包吃
送货员
配送员
跟车员",重庆市经济技术开发区新城贸易有限公司,民营  |  50-150人,批发/零售
云平台微服务架构师,1.2-2.4万·15薪,长沙,2年,硕士,"jvm
架构设计
负载均衡
技术架构
c++
二次开发
软件开发
rpc
soa
技术预研
双休
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训
生育补贴
舒适办公环境",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
品质工程师,7-8千,宁波·北仑区,3-4年,大专,"质检
售后
品质工程师
绩效奖金
住房补贴
高温补贴
五险一金",宁波经济技术开发区博泰模具制造有限公司,民营  |  150-500人,机械/设备/重工
生产普工,3.7-4.5千,佛山·南海区,1年,初中及以下,"五险一金
餐饮补贴
弹性工作
专业培训",佛山市南海区骏达经济实业有限公司,民营  |  50-150人,汽车
产品设计  产品造型（五险一金+双休+全勤奖）,4-8千,宁波·鄞州区,1年,大专,"造型
设计
造型师
工业设计
五险一金
周末双休
绩效奖金
餐饮补贴
节日福利",宁波经济技术开发区芳贝国际贸易有限公司,民营  |  少于50人,贸易/进出口
超算DevOps工程师,1.2-2.4万,长沙,3-4年,本科,"五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
周末双休
定期体检
工作环境舒适
生育补贴",北大计算与数字经济研究院,事业单位  |  150-500人,计算机软件
产业发展部项目经理,5-8千,成都·金牛区,3-4年,本科,"餐饮补贴
五险一金
绩效奖金
定期体检
交通补贴
通讯补贴",四川数字经济产业发展研究院,事业单位  |  50-150人,政府/公共事业
总经理助理,5千-1万,杭州,1年,硕士,总经理助理,杭州金鑫经济技术咨询有限公司,民营  |  少于50人,房地产
项目专员双休五险一金,3.5-4.5千·13薪,武汉·江汉区,1年,本科,"人力资源管理
客户关系维护
供应商管理
档案管理
费用结算
工商
维护员工档案
制作账单
税务
数理统计分析
五险一金
年终奖
节日福利
平台好
氛围好",中智湖北经济技术合作有限公司,国企  |  50-150人,专业服务(咨询、人力资源、财会)
海鲜师傅,4.5-6千,福州·仓山区,1年,,"包吃
包住宿",福州天翔经济发展有限公司,民营  |  50-150人,娱乐/休闲/体育
总账会计（五险一金+稳定+高薪）,8千-1万,广州·越秀区,5-7年,大专,"财务经理
财务主管
财务顾问
会计主管
五险一金
补充医疗保险
员工旅游
绩效奖金
年终奖金",广东开华经济发展有限公司,民营  |  少于50人,批发/零售
内控合规专员,5-8千,成都·金牛区,3-4年,本科,"餐饮补贴
五险一金
定期体检
通讯补贴",四川数字经济产业发展研究院,事业单位  |  50-150人,政府/公共事业
保险顾问,6千-1万,武汉·东西湖区,1年,大专,"车险
寿险
续保
定损
养老险
健康险
财产险
互联网保险
五险一金
年终奖金
双休",中智湖北经济技术合作有限公司,国企  |  50-150人,专业服务(咨询、人力资源、财会)
物业拓展经理,1-1.5万,广州,5-7年,大专,"五险一金
带薪年假
加班补贴
物业管理
市场开拓
拓展计划
服务方案",广州兴楼经济发展有限公司,民营  |  150-500人,物业管理/商业中心
总裁助理（高薪+五险+稳定）,8千-1万,广州,2年,本科,"秘书
董事长助理
总经理助理
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
绩效奖金
年终奖金
弹性工作",广东开华经济发展有限公司,民营  |  少于50人,批发/零售
销售代表,6千-1.2万·13薪,昆山,2年,大专,"缴纳社保
年终奖金
绩效奖金
带薪年假
五险一金
销售
销售代表
渠道销售
业务员
客户代表
网络销售
业务经理
销售经理
营销经理",昆山市经济技术开发区万仕龙纸业有限公司,民营  |  少于50人,办公用品及设备
高薪+材料推广,5-6千,武汉·武昌区,3-4年,大专,"五险一金
带薪年假
节日福利
年终奖金
补充医疗保险
定期体检
项目提成
材料销售
建筑工程
装饰装修
有机材料
无机材料
开发新客户
市场营销
销售代表
业务员",武汉永信经济发展有限公司,民营  |  50-150人,建筑/建材/工程
工程咨询预结算编审部门经理,10-16万/年,杭州·江干区,8-9年,本科,,杭州金鑫经济技术咨询有限公司,民营  |  少于50人,房地产
综合部专员（稳定/五险一金）,5-6千,广州·越秀区,2年,本科,"办公软件
招聘
归档
行政管理
水电费
管理费
管理费催缴
员工关系
带薪年假
五险一金
节日福利
交通补贴
年终奖金",广东开华经济发展有限公司,民营  |  少于50人,批发/零售
电销专员 五险一金,4.5-6千,武汉,1年,大专,"五险一金
年终奖金
专业培训
绩效奖金
定期体检",中智湖北经济技术合作有限公司,国企  |  50-150人,专业服务(咨询、人力资源、财会)
销售主管,5-6千,武汉·武昌区,3-4年,大专,"建筑工程
地坪工程
无机材料
材料销售
工程
客户沟通
销售
销售主管
业务员
营销专员
五险一金
补充医疗保险
年终奖金
定期体检
带薪年假
节日福利",武汉永信经济发展有限公司,民营  |  50-150人,建筑/建材/工程
销售经理,1.2-1.8万,广州,3-4年,大专,,广州粤洪经济发展有限公司,民营  |  少于50人,环保
急聘/总助/五险一金,5-6千,广州·番禺区,1年,本科,"法务
互联网
房地产
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
绩效奖金
年终奖金
弹性工作",广东开华经济发展有限公司,民营  |  少于50人,批发/零售
市场总监,1-1.2万,广州,2年,大专,"五险一金
带薪年假
定期体检
加班补贴",广州兴楼经济发展有限公司,民营  |  150-500人,物业管理/商业中心
区域销售主管,1-1.5万,武汉·江汉区,3-4年,大专,"主管
交通补贴
餐饮补贴
通讯补贴
节日福利
弹性工作
绩效奖金
带薪年假
全勤奖",武汉和祥兴经济发展有限公司,民营  |  150-500人,快速消费品(食品、饮料、化妆品)
外贸销售,5.5千-1万·13薪,昆山,3-4年,大专,"英语
展会
电商
缴纳社保
年终奖金
绩效奖金
带薪年假
五险一金",昆山市经济技术开发区万仕龙纸业有限公司,民营  |  少于50人,办公用品及设备
驻点项目经理,8千-1万·13薪,武汉·洪山区,3-4年,大专,"hrbp
员工关系
劳务派遣
人才发展
薪酬绩效
考勤
五险一金
年终奖金",中智湖北经济技术合作有限公司,国企  |  50-150人,专业服务(咨询、人力资源、财会)
超市员工,2.8-4千,合肥·经开区,无需经验,高中,,合肥经济技术开发区加侨百货超市,民营  |  少于50人,批发/零售
销售渠道经理,8千-1.6万,长沙,1年,大专,"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
销售代表",珠海经济特区伟思有限公司,民营  |  150-500人,计算机软件
渠道销售（需出差）,8千-1万,武汉·汉阳区,无需经验,大专,"渠道
建材
招商
经销商
出差
业务
商务
销售
代理商
免费班车
五险一金
绩效奖金
餐饮补贴
通讯补贴
专业培训
交通补贴
年终奖金
住宿补贴
节日福利",武汉金牛经济发展有限公司,民营  |  1000-5000人,原材料和加工
导购员,8千-1万,贵阳·云岩区,2年,大专,"五险
员工旅游
绩效奖金
年终奖金
专业培训
晋升空间大",贵州新协和经济发展有限公司,民营  |  50-150人,建筑/建材/工程
银行大堂引导员双休五险一金,4.5-4.6千,武汉,1年,大专,"引导
环境消毒
迎送服务
巡检
五险一金
年终奖
节日福利
平台好
氛围好",中智湖北经济技术合作有限公司,国企  |  50-150人,专业服务(咨询、人力资源、财会)
工程部总监,5-8千,广州,5-7年,大专,"管理施工
项目勘察
施工方案
五险一金
带薪年假
加班补贴",广州兴楼经济发展有限公司,民营  |  150-500人,物业管理/商业中心
